case_id,expected_action,decision,intent_correct,judge_overall,judge_relevance,judge_groundedness,judge_helpfulness,judge_tone,judge_safety,judge_reason
e6adcd054038,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
8e7f94f8d855,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00
b1df18401bcd,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
d29e31cfd0ca,AUTO,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=product_information; evidence_overlap=0.15
b709ba40041e,AUTO,AUTO,True,3.8,3,4,2,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
688bfa013e08,AUTO,AUTO,True,3.4,3,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
c5b7d10ebaca,AUTO,AUTO,True,4.4,5,4,5,3,5,retrieved_intent=return_refund; evidence_overlap=1.00
a66d6caefe44,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
0f574e7003ac,AUTO,AUTO,False,4.4,3,4,5,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
1f461eda7eb3,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=order_change; evidence_overlap=1.00
7fa1916bc14c,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
98b09f0a98a7,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
22bf70ec683a,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=product_information; evidence_overlap=1.00
8eaff560112b,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
3b79d2ba2298,ESCALATE,ESCALATE,True,3.8,4,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00
ca662f810ac0,ESCALATE,ESCALATE,True,3.6,3,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.08
f9942a7e6c6c,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
5c1536389f83,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00
83846f767dc2,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
d71781b3c791,AUTO,AUTO,False,4.4,3,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
a4ce178458b6,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00
754581d5a6ee,AUTO,AUTO,False,4.4,3,4,5,5,5,retrieved_intent=order_change; evidence_overlap=1.00
b174e08ae760,AUTO,AUTO,True,4.2,5,4,2,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00
1112215ff363,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
9061301c76d8,AUTO,AUTO,True,3.8,3,4,2,5,5,retrieved_intent=return_refund; evidence_overlap=1.00
e263bcd698b2,AUTO,AUTO,True,3.8,5,4,2,3,5,retrieved_intent=return_refund; evidence_overlap=1.00
8f313278ba45,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00
