case_id,source_tweet_id,customer_id,customer_text,brand_response,gold_intent,expected_action,high_risk,label_source
e6adcd054038,22219,120852,#my Prime membership expired & I got a notification AFTER that. Now I've had to renew at higher cost. (1),That's definitely something we must look into. Apologies for this. I'd share this feedback internally with the right team. ^JC,account_membership,AUTO,False,"single-reviewer, handbook-guided"
8e7f94f8d855,78686,133551,I know you are missing them and I want to know why as the whole idea of prime is for next day! The order I have placed tonight is expected to be delivered on Monday so definitely not next day! Last weeks were 4 days too it’s not good!,"If this has been a recurring issue, please let us help by lending you a hand and reviewing this order on your behalf. You can contact our support team via this link: ^WM",delivery_issue,AUTO,False,"single-reviewer, handbook-guided"
b1df18401bcd,296746,186689,Very surprised to have a negative and disappointing experience with your custom service chat about a recent order.,"I'm sorry we've let you down! Without providing account information, could you tell us more about what's going on? ^ML",order_change,AUTO,False,"single-reviewer, handbook-guided"
d29e31cfd0ca,281964,183171,"should'nt it be ""price"" instead of ""prize"" in your tweet? spelling mistakes in tweets by not acceptable..",and it will be taken care of at the earliest. (2/2)^AU,product_information,AUTO,False,"single-reviewer, handbook-guided"
b709ba40041e,162162,153432,Regarding payment!Despite adding cash Amazonpay & rcvd confirmatory SMS.But not reflected in statement. #refund Ph:8428939085,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2) ^SV",billing_payment,AUTO,False,"single-reviewer, handbook-guided"
688bfa013e08,300058,187549,Wish will have a exchange offer for Kindles. My aging Kindle is still in good condition but would love a Paperwhite.,That is an amazing suggestion! I'll share this with our team immediately. We'll work on this for the future. Thanks a lot! ^ZH,device_app_issue,AUTO,False,"single-reviewer, handbook-guided"
c5b7d10ebaca,728504,294490,It looks like it's only giving me the option to return both though?,Let us know if you don't have the option to just return one when the order has been delivered. ^JJ,return_refund,AUTO,False,"single-reviewer, handbook-guided"
a66d6caefe44,49997,127189,Hi when can I be able to watch #TheGrandTour on our my AppleTV? Decembre 2nd for the new season?,"Hello François, we don't offer this service for the moment. You will have news very soon. ^SB",product_information,AUTO,False,"single-reviewer, handbook-guided"
0f574e7003ac,995428,355796,"Hi there, I have the app to watch movies & tv on my Samsung TV, is there an app for the music version of prime for Samsung TV? Thanks in advance!",Thanks for your interest. Amazon Music is not available on TV's. ^BH,product_information,AUTO,False,"single-reviewer, handbook-guided"
1f461eda7eb3,17242,119796,I have shared the details I need immediate solution for this I have to give order today,Thanks. We'll check and revert at the earliest. ^HK,order_change,AUTO,False,"single-reviewer, handbook-guided"
7fa1916bc14c,291334,185012,"I did it in the app when I saw it was damaged, asked for replacement but unsure as to when I'll get one?","Thanks for confirming, Christopher! Let's check on the status of your replacement here: ^FD",return_refund,AUTO,False,"single-reviewer, handbook-guided"
98b09f0a98a7,74314,132637,And then it turns up at 20:30. FFS!,"Oh my! Thank you for keeping us in the loop, Mark! Please let us know if you have further questions or concerns. We're here to help! ^TG",general_complaint,ESCALATE,False,"single-reviewer, handbook-guided"
