case_id,expected_action,decision,intent_correct,judge_overall,judge_relevance,judge_groundedness,judge_helpfulness,judge_tone,judge_safety,judge_reason,human_overall,human_label_source
e6adcd054038,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00,4,manual development review
c5b7d10ebaca,AUTO,AUTO,True,4.4,5,4,5,3,5,retrieved_intent=return_refund; evidence_overlap=1.00,3,manual development review
8eaff560112b,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00,2,manual development review
a4ce178458b6,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00,3,manual development review
d9437389b6f9,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00,4,manual development review
2528a579d9d9,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00,3,manual development review
3bbf96a5b997,ESCALATE,ESCALATE,False,3.6,3,3,3,4,5,retrieved_intent=device_app_issue; evidence_overlap=0.08,4,manual development review
6d8180758c4f,AUTO,AUTO,False,3.4,3,4,2,3,5,retrieved_intent=account_membership; evidence_overlap=1.00,3,manual development review
d8a1586797ba,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00,3,manual development review
cc172922fa02,AUTO,AUTO,True,4.2,4,4,5,3,5,retrieved_intent=account_membership; evidence_overlap=1.00,4,manual development review
fc3056e4065f,AUTO,AUTO,True,4.8,5,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00,5,manual development review
7236349cd537,AUTO,AUTO,True,4.0,3,4,5,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00,3,manual development review
4202b3e87f11,AUTO,AUTO,False,4.4,3,4,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00,3,manual development review
074a9b22f980,AUTO,AUTO,True,4.4,5,5,2,5,5,retrieved_intent=return_refund; evidence_overlap=1.00,4,manual development review
d8d7a008a30b,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=product_information; evidence_overlap=1.00,3,manual development review
49d349fb2b22,ESCALATE,ESCALATE,True,4.2,5,3,4,4,5,retrieved_intent=billing_payment; evidence_overlap=0.31,4,manual development review
e49d2ef67f61,AUTO,AUTO,True,4.8,4,5,5,5,5,retrieved_intent=billing_payment; evidence_overlap=1.00,4,manual development review
0c3d87814a41,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00,4,manual development review
fccac43d0b4c,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00,3,manual development review
d2437996f3c6,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00,4,manual development review
d0fa245accda,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=device_app_issue; evidence_overlap=1.00,2,manual development review
e29837e397bd,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=account_membership; evidence_overlap=1.00,3,manual development review
fd32c83ec5c9,ESCALATE,ESCALATE,True,4.0,5,3,3,4,5,retrieved_intent=general_complaint; evidence_overlap=0.00,4,manual development review
ad1a281da8bc,AUTO,AUTO,True,3.6,4,4,2,3,5,retrieved_intent=billing_payment; evidence_overlap=1.00,3,manual development review
39dab662f61f,AUTO,AUTO,True,4.6,4,4,5,5,5,retrieved_intent=return_refund; evidence_overlap=1.00,4,manual development review
94180612a036,AUTO,AUTO,True,4.4,5,4,5,3,5,retrieved_intent=account_membership; evidence_overlap=1.00,3,manual development review
f962333a0483,AUTO,AUTO,True,3.8,3,4,2,5,5,retrieved_intent=product_information; evidence_overlap=1.00,3,manual development review
43dbbdef0b3b,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00,4,manual development review
8f2210ed0ace,AUTO,AUTO,True,4.4,3,4,5,5,5,retrieved_intent=delivery_issue; evidence_overlap=1.00,4,manual development review
79c08e3926f2,AUTO,AUTO,True,4.0,4,4,2,5,5,retrieved_intent=device_app_issue; evidence_overlap=1.00,4,manual development review
